variable,contrast,group1,group2,taxon_id,mean_diff_clr,standardized_diff,coordinate_stat,valid_taxon,taxon
Siblings,Siblings,0,>=1,Veillonella,0.8965852702698764,0.35528477275239295,5.275446649460444,TRUE,Veillonella
Siblings,Siblings,0,>=1,Dermabacter,0.21933186257259463,0.3482556165845673,5.0687667347420655,TRUE,Dermabacter
Siblings,Siblings,0,>=1,Clostridium_sensu_strict1,0.652601009071093,0.292459171603445,3.574674791709042,TRUE,Clostridium_sensu_strict1
Siblings,Siblings,0,>=1,Granulicatella,0.24740454045687743,0.2780987076087389,3.2322428832057417,TRUE,Granulicatella
Siblings,Siblings,0,>=1,Bifidobacterium,-0.33224460365166486,-0.27597752143077076,3.183123336119033,TRUE,Bifidobacterium
Siblings,Siblings,0,>=1,Gordonibacter,0.18186392423888997,0.2629208998818025,2.889058040315856,TRUE,Gordonibacter
Siblings,Siblings,0,>=1,Escherichia-Shigella,-0.5222681925232386,-0.2600579317280974,2.8264822023089744,TRUE,Escherichia-Shigella
Siblings,Siblings,0,>=1,Bacteroides,-0.6365874123061186,-0.24924394052907614,2.596302337219254,TRUE,Bacteroides
Siblings,Siblings,0,>=1,Fusicatenibacter,-0.4528695849062352,-0.2488197247145848,2.587471990391316,TRUE,Fusicatenibacter
Siblings,Siblings,0,>=1,Lachnoclostridium,0.41612770439029323,0.2422952074059246,2.453554416411892,TRUE,Lachnoclostridium
Siblings,Siblings,0,>=1,Terrisporobacter,-0.2997963839856068,-0.2413875776369639,2.4352069792530626,TRUE,Terrisporobacter
Siblings,Siblings,0,>=1,Cutibacterium,0.13686356219133766,0.23090885376034065,2.2283695614624057,TRUE,Cutibacterium
Siblings,Siblings,0,>=1,Tyzzerella,-0.307664603541042,-0.22776982735183698,2.168195465930695,TRUE,Tyzzerella
Smoking,Smoking,No,Yes,Tyzzerella,-0.6820267755155458,-0.4971467736507024,13.913736211573086,TRUE,Tyzzerella
Smoking,Smoking,No,Yes,[Clostridium]_innocuum_group,-0.9720722516903559,-0.49045527789055937,13.541704718388502,TRUE,[Clostridium]_innocuum_group
Smoking,Smoking,No,Yes,8_Comamonadaceae(F),0.1568691494139849,0.481277268785352,13.039628387707912,TRUE,8_Comamonadaceae(F)
Smoking,Smoking,No,Yes,Lachnoanaerobaculum,0.15201567478581446,0.45515232629763464,11.662403099241159,TRUE,Lachnoanaerobaculum
Smoking,Smoking,No,Yes,Fenollaria,0.15454953781123892,0.4366260107222281,10.732322703113278,TRUE,Fenollaria
Smoking,Smoking,No,Yes,Anaerococcus,0.32449450081728004,0.4314084145210926,10.477356903591224,TRUE,Anaerococcus
Smoking,Smoking,No,Yes,Sarcina,0.1700534189417785,0.4069786882519727,9.32433461020749,TRUE,Sarcina
Smoking,Smoking,No,Yes,[Ruminococcus]_gnavugroup,-0.6319129773895238,-0.39938805877086114,8.979758695533445,TRUE,[Ruminococcus]_gnavugroup
Smoking,Smoking,No,Yes,9_Pasteurellaceae(F),0.16672202793465696,0.391139288811434,8.612661889791472,TRUE,9_Pasteurellaceae(F)
Smoking,Smoking,No,Yes,Prevotella,0.364620794275877,0.38885006748941287,8.512142238472608,TRUE,Prevotella
Smoking,Smoking,No,Yes,Gordonibacter,-0.288837062770549,-0.38586116928376324,8.381787898708355,TRUE,Gordonibacter
Smoking,Smoking,No,Yes,Clostridium_sensu_strict1,-0.8479046404699404,-0.3796989701396869,8.116211451386997,TRUE,Clostridium_sensu_strict1
Smoking,Smoking,No,Yes,Sellimonas,-0.42685571250415716,-0.37520259774164805,7.925126223204058,TRUE,Sellimonas
Smoking,Smoking,No,Yes,Slackia,0.20951440003039112,0.3498658139714258,6.890925148041047,TRUE,Slackia
Smoking,Smoking,No,Yes,Granulicatella,-0.3013750279811884,-0.34633669794431954,6.752607996193111,TRUE,Granulicatella
Smoking,Smoking,No,Yes,Megamonas,0.13995573602409705,0.3423021113722737,6.596197804627306,TRUE,Megamonas
Smoking,Smoking,No,Yes,Porphyromonas,0.11447832798597135,0.3402198672161269,6.516191758588389,TRUE,Porphyromonas
Smoking,Smoking,No,Yes,Eggerthella,-0.6877212717172906,-0.33978819899119983,6.499666865419494,TRUE,Eggerthella
Smoking,Smoking,No,Yes,Phascolarctobacterium,0.22022374409512946,0.3390384457579674,6.471015076526735,TRUE,Phascolarctobacterium
Smoking,Smoking,No,Yes,Lactococcus,-0.5248969692121442,-0.33230422806626003,6.216504449983937,TRUE,Lactococcus
