taxon_id,taxon,log2_fc,clr_difference,mean_rel_non_ebf,mean_rel_ebf,prevalence_non_ebf,prevalence_ebf,p_raw_dacomp (1e+03),p_raw_dacomp (1e+04),p_raw_dacomp (1e+05),p_raw_dacomp (1e+06),p_raw_dacomp (1e+07),p_raw_dacomp + permApprox(U) (1e+03),p_raw_dacomp + permApprox(C) (1e+03),p_adj_dacomp (1e+03),p_adj_dacomp (1e+04),p_adj_dacomp (1e+05),p_adj_dacomp (1e+06),p_adj_dacomp (1e+07),p_adj_dacomp + permApprox(U) (1e+03),p_adj_dacomp + permApprox(C) (1e+03)
Parabacteroides,Parabacteroides,0.39140758590775987,0.5088566938505532,0.003027187987429354,0.003970991003913723,0.1452513966480447,0.216,0.2777222777222777,0.2508749125087491,0.07402925970740293,0.3958926041073959,0.36248516375148365,0.2777222777222777,0.2777222777222777,1,1,0.14685953140468594,1,1,0.6083565557249767,0.6083565557249767
Porphyromonas,Porphyromonas,0.6391129428778999,0.11362686623217844,2.177304534933965e-6,3.948242887008411e-6,0.0111731843575419,0.013333333333333334,NA,NA,NA,1,NA,NA,NA,1,1,1,1,1,NA,NA
Coprobacter,Coprobacter,2.2293856435771633,0.11588733398153772,3.429789483542455e-5,1.6452391716979792e-4,0.0111731843575419,0.013333333333333334,1,1,0.5966740332596674,1,0.798902820109718,1,1,1,1,1,1,1,1,1
Alistipes,Alistipes,0.28528959121238573,0.19461149826366464,1.3823250570966638e-4,1.6867636960016878e-4,0.05027932960893855,0.08266666666666667,0.5374625374625375,0.5493450654934506,0.8888311116888831,0.4066945933054067,0.9117561088243891,0.5374625374625375,0.5374625374625375,1,1,1,1,1,0.7971095571095571,0.7971095571095571
Gordonibacter,Gordonibacter,-4.193621896167704,-0.04055147940204329,3.479520574215423e-4,1.8070399105059454e-5,0.05027932960893855,0.029333333333333333,0.22377622377622378,0.0231976802319768,0.032459675403245965,0.780916219083781,0.033427396657260335,0.22377622377622378,0.22377622377622378,1,0.07440165074401651,0.0866348479372349,1,0.1109307369069263,0.5360221174174662,0.5360221174174662
Senegalimassilia,Senegalimassilia,-0.4715006991413731,0.14101538460189061,8.590678857234615e-4,6.192929973481404e-4,0.08379888268156424,0.10133333333333333,0.3146853146853147,0.9911008899110089,0.0998790012099879,0.31953168046831953,0.9904266009573399,0.3146853146853147,0.3146853146853147,1,1,0.18157794612530065,1,1,0.6083565557249767,0.6083565557249767
Eggerthella,Eggerthella,-0.5095395518117048,-0.24791801855732504,0.0011017701949933743,7.736371672192501e-4,0.39664804469273746,0.32,0.1838161838161838,0.019098090190980903,0.024459755402445976,0.05484094515905484,0.12389728761027125,0.1838161838161838,0.1838161838161838,1,0.06461258636041158,0.06749932500674993,0.14868008208914868,1,0.4693111766282498,0.4693111766282498
Slackia,Slackia,-1.7052763758805562,0.02307677819960119,7.302734866585879e-5,2.170141118910826e-5,0.027932960893854747,0.013333333333333334,0.3156843156843157,0.5613438656134386,0.32668673313266866,0.3231186768813231,0.10409958959004104,0.3156843156843157,0.3156843156843157,1,1,1,1,1,0.6083565557249767,0.6083565557249767
Atopobium,Atopobium,0.4220750019553785,0.07079178697524802,5.445490946425923e-5,7.330144101221166e-5,0.1564245810055866,0.12533333333333332,1,0.9318068193180682,0.06395936040639594,0.5390834609165391,0.6867268313273168,1,1,1,1,0.14006508583562813,1,1,1,1
Olsenella,Olsenella,0.17655724064183725,0.03555352180517524,4.7955115567820084e-4,5.421110656075362e-4,0.0223463687150838,0.008,0.24875124875124874,0.09549045095490451,1,0.10179489820510179,1,0.24875124875124874,0.24875124875124874,1,0.21639600745807772,1,1,1,0.5823040595767868,0.5823040595767868
Libanicoccus,Libanicoccus,3.116113437481258,0.16230950973273228,5.765626470058314e-5,5.075785247759042e-4,0.01675977653631285,0.024,0.5444555444555444,0.31016898310168983,0.3116868831311687,0.471006528993471,1,0.5444555444555444,0.5444555444555444,1,1,1,1,1,0.7971095571095571,0.7971095571095571
Collinsella,Collinsella,-1.409993833600571,-0.1391807741563662,0.022411153078369335,0.008432991179600394,0.8100558659217877,0.8773333333333333,0.008991008991008992,2.9997000299970003e-4,0.003759962400375996,0.02255697744302256,5.944999405500059e-4,0.00895055064153478,0.008950552028190523,0.041358641358641354,0.00164983501649835,0.015902340976590233,0.07257768932707258,0.0029650304727277216,0.07091590123677556,0.07091591222335569
Anaerococcus,Anaerococcus,-0.007388909580237432,-0.03920033738691309,4.463547987184814e-5,4.4402350621229315e-5,0.12290502793296089,0.06933333333333333,0.5804195804195804,0.25047495250474955,0.3240267597324027,0.9019130980869019,1,0.5804195804195804,0.5804195804195804,1,1,1,1,1,0.7971095571095571,0.7971095571095571
Finegoldia,Finegoldia,-0.9288590816375231,-0.05999959240179675,5.383303693824353e-5,2.7802345435730302e-5,0.11173184357541899,0.05333333333333334,0.8031968031968032,0.0362963703629637,0.8059619403805962,0.8046641953358047,0.27322087267791273,0.8031968031968032,0.8031968031968032,1,0.11319238446525717,1,1,1,1,1
Peptoniphilus,Peptoniphilus,-0.17816824837667908,-0.02078663149013482,1.648439875780798e-4,1.4557697154828056e-4,0.10614525139664804,0.06666666666666667,1,0.11338866113388661,0.04488955110448895,0.285019714980285,0.5198220480177952,1,1,1,1,0.11023507411984704,1,1,1,1
Fenollaria,Fenollaria,-0.8780062417379854,0.10473150605667814,7.550826797744241e-6,3.6526661868016643e-6,0.0111731843575419,0.010666666666666666,NA,NA,0.3226567734322657,NA,NA,NA,NA,1,1,1,1,1,NA,NA
Clostridium_sensu_strict18,Clostridium_sensu_strict18,-0.3138223189868279,0.0196359014697306,7.624908393286194e-5,6.114746331711097e-5,0.027932960893854747,0.010666666666666666,NA,0.31816818318168183,0.32187678123218766,0.32323267676732326,0.3230989676901032,NA,NA,1,1,1,1,1,NA,NA
Sarcina,Sarcina,1.737782876518403,0.1364189848916636,1.6519302687194968e-6,7.844776682524842e-6,0.00558659217877095,0.013333333333333334,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA
