taxon_id,statistic,p_raw,p_adj,is_reference,method,n_perm,constraint,exceed0,method_used,mean_rel_non_ebf,mean_rel_ebf,mean_clr_non_ebf,mean_clr_ebf,log2_fc,clr_difference,prevalence_non_ebf,prevalence_ebf,taxon,method_label,panel_label,p_plot_raw,neglog10_p_raw,significant,direction,neglog10_p_display
Phascolarctobacterium,4.197520886581038,0.10392618960738104,1,TRUE,dacomp,10000000,NA,NA,NA,1.649903316110652e-4,2.6136036047964762e-5,-0.9043801300540785,-0.8551001343988794,-2.612817315167238,0.04927999565519903,0.0223463687150838,0.021333333333333333,Phascolarctobacterium,dacomp (1e+07),"dacomp
1e+07 permutations",0.10392618960738104,0.9832749955735945,FALSE,No difference,0.9832749955735945
Veillonella,4.16114295359013,0.04089649591035041,0.11871816743852809,FALSE,dacomp,10000000,NA,NA,NA,0.004955886945956799,0.004227099160032673,1.8530937930277998,1.3118222386603304,-0.22942514285558774,-0.5412715543674693,0.6201117318435754,0.5066666666666667,Veillonella,dacomp (1e+07),"dacomp
1e+07 permutations",0.04089649591035041,1.3883139015768318,FALSE,No difference,1.3883139015768318
Negativicoccus,0.875138586154612,0.2888184711181529,1,TRUE,dacomp,10000000,NA,NA,NA,1.1468226266316499e-4,4.771854914938984e-5,-0.8104852505313089,-0.7796064695513871,-1.2476246005948115,0.030878780979921805,0.05027932960893855,0.04533333333333334,Negativicoccus,dacomp (1e+07),"dacomp
1e+07 permutations",0.2888184711181529,0.5393750353123494,FALSE,No difference,0.5393750353123494
Dialister,0.09949221155373511,0.899649310035069,1,TRUE,dacomp,10000000,NA,NA,NA,8.003011727265234e-5,5.30159183742212e-5,-0.5170023405828474,-0.4455828922792237,-0.585073599501441,0.07141944830362373,0.18994413407821228,0.2,Dialister,dacomp (1e+07),"dacomp
1e+07 permutations",0.899649310035069,0.0459267487797147,FALSE,No difference,0.0459267487797147
Megasphaera,0.5695647324823332,0.597957240204276,1,TRUE,dacomp,10000000,NA,NA,NA,3.586149237551634e-5,2.843633386687649e-4,-0.8692091480673872,-0.8251021315878313,2.952613613872458,0.04410701647955595,0.0446927374301676,0.021333333333333333,Megasphaera,dacomp (1e+07),"dacomp
1e+07 permutations",0.597957240204276,0.2233298712077348,FALSE,No difference,0.2233298712077348
Anaeroglobus,NA,NA,1,TRUE,dacomp,10000000,NA,NA,NA,2.2332251892149594e-5,5.5990687241205344e-06,-0.9638654954353786,-0.8940883783122237,-1.821991207029269,0.06977711712315493,0.01675977653631285,0.008,Anaeroglobus,dacomp (1e+07),"dacomp
1e+07 permutations",NA,NA,FALSE,No difference,NA
Megamonas,NA,NA,1,TRUE,dacomp,10000000,NA,NA,NA,9.375410055643057e-6,8.954639221096629e-7,-0.9838131897009206,-0.9058478346007448,-2.4525454536904308,0.07796535510017577,0.0111731843575419,0.008,Megamonas,dacomp (1e+07),"dacomp
1e+07 permutations",NA,NA,FALSE,No difference,NA
Streptococcus,18.915560193441465,1.1499998850000115e-5,1.0231665643500102e-4,FALSE,dacomp,10000000,NA,NA,NA,0.08099641286533013,0.03336851947005966,6.312637144458961,5.672829420727983,-1.2793449161985115,-0.6398077237309776,1,0.9893333333333333,Streptococcus,dacomp (1e+07),"dacomp
1e+07 permutations",1.1499998850000115e-5,4.939302203075834,TRUE,Higher in 'non-EBF',4.939302203075834
Lactococcus,26.595006510611498,9.9999990000001e-8,9.799999020000097e-7,FALSE,dacomp,10000000,NA,NA,NA,0.008015469718903427,5.428926349295576e-5,0.4287364342881886,-0.5286209860882316,-7.179823880686143,-0.9573574203764201,0.3743016759776536,0.18133333333333335,Lactococcus,dacomp (1e+07),"dacomp
1e+07 permutations",9.9999990000001e-8,7.000000043429446,TRUE,Higher in 'non-EBF',7.000000043429446
Gemella,1.5647684217086983,0.23535667646433236,1,FALSE,dacomp,10000000,NA,NA,NA,8.814941050625634e-4,4.746584909626913e-4,0.49674274860280426,0.5163234138928382,-0.8916605095242207,0.01958066529003394,0.44692737430167595,0.424,Gemella,dacomp (1e+07),"dacomp
1e+07 permutations",0.23535667646433236,0.6282734773637922,FALSE,No difference,0.6282734773637922
Staphylococcus,1.8751739801583371,0.17152388284761172,1,FALSE,dacomp,10000000,NA,NA,NA,0.0019316773241116604,0.0036024502233629016,1.4182451624363372,2.083891706168641,0.898778128449645,0.6656465437323036,0.5754189944134078,0.664,Staphylococcus,dacomp (1e+07),"dacomp
1e+07 permutations",0.17152388284761172,0.7656754005962033,FALSE,No difference,0.7656754005962033
Turicibacter,0.4773333333333335,1,1,TRUE,dacomp,10000000,NA,NA,NA,1.1505474379827064e-5,3.7142356606629093e-6,-0.9014205978738344,-0.8626776388346921,-1.4074640008120307,0.03874295903914238,0.055865921787709494,0.034666666666666665,Turicibacter,dacomp (1e+07),"dacomp
1e+07 permutations",1,-0,FALSE,No difference,-0
Granulicatella,4.951384215238707,0.03858419614158039,0.11871816743852809,TRUE,dacomp,10000000,NA,NA,NA,2.8179209670198453e-4,2.1691098966585052e-5,-0.6666444164181999,-0.8339730228171182,-3.639543413298311,-0.16732860639891822,0.0782122905027933,0.024,Granulicatella,dacomp (1e+07),"dacomp
1e+07 permutations",0.03858419614158039,1.4135905433578533,FALSE,No difference,1.4135905433578533
Enterococcus,72.04069003437935,9.9999990000001e-8,9.799999020000097e-7,FALSE,dacomp,10000000,NA,NA,NA,0.05681543481577334,0.015645783696368355,5.433273943925273,3.7054547075214774,-1.8604421746693096,-1.7278192364037954,0.94972067039106145,0.8773333333333333,Enterococcus,dacomp (1e+07),"dacomp
1e+07 permutations",9.9999990000001e-8,7.000000043429446,TRUE,Higher in 'non-EBF',7.000000043429446
Dolosigranulum,0.2837524119328782,1,1,TRUE,dacomp,10000000,NA,NA,NA,8.262969959594809e-6,2.6024469541723238e-5,-0.9421222889957462,-0.7170064455495332,1.5447195598865977,0.22511584344621305,0.0446927374301676,0.08266666666666667,Dolosigranulum,dacomp (1e+07),"dacomp
1e+07 permutations",1,-0,FALSE,No difference,-0
Lactobacillus,4.140781780551339,0.04171499582850042,0.11871816743852809,FALSE,dacomp,10000000,NA,NA,NA,0.009815409919719582,0.013516899774688899,1.3447206863157741,2.332827848790896,0.4616036225977283,0.9881071624751221,0.441340782122905,0.5893333333333334,Lactobacillus,dacomp (1e+07),"dacomp
1e+07 permutations",0.04171499582850042,1.3797077955096053,FALSE,No difference,1.3797077955096053
Leuconostoc,6.307673860925883,0.033462896653710335,0.1109307369069263,TRUE,dacomp,10000000,NA,NA,NA,2.7819857946122885e-4,7.070377767902799e-6,-0.6568236050668991,-0.8990092540546737,-5.11251158455052,-0.24218564898777462,0.1005586592178771,0.008,Leuconostoc,dacomp (1e+07),"dacomp
1e+07 permutations",0.033462896653710335,1.4754364678484433,FALSE,No difference,1.4754364678484433
Family_XIII_AD3011_group,2.0949720670391065,0.3231306676869332,1,TRUE,dacomp,10000000,NA,NA,NA,9.060900029892686e-5,3.9376422772647284e-6,-0.9767821686727088,-0.8910742544947388,-4.213595120695315,0.08570791417797008,0.0111731843575419,0.013333333333333334,Family_XIII_AD3011_group,dacomp (1e+07),"dacomp
1e+07 permutations",0.3231306676869332,0.49062182200353477,FALSE,No difference,0.49062182200353477
Terrisporobacter,13.715643866033057,2.9429997057000293e-4,0.0016764998323500167,TRUE,dacomp,10000000,NA,NA,NA,7.317200374332087e-4,7.855045004828684e-5,-0.2009887411028358,-0.7231386991216638,-3.2033200714957197,-0.522149958018828,0.17318435754189945,0.056,Terrisporobacter,dacomp (1e+07),"dacomp
1e+07 permutations",2.9429997057000293e-4,3.531209781329835,TRUE,Higher in 'non-EBF',3.531209781329835
Paeniclostridium,1.6249365280317127,0.17456738254326173,1,TRUE,dacomp,10000000,NA,NA,NA,8.142399614728812e-5,6.989828340138571e-6,-0.8571024432100915,-0.8906677753642398,-3.3668279986447294,-0.03356533215414825,0.03910614525139665,0.008,Paeniclostridium,dacomp (1e+07),"dacomp
1e+07 permutations",0.17456738254326173,0.7580368998331614,FALSE,No difference,0.7580368998331614
