SampleID,group,taxon_id,rarefied_count,taxon,taxon_plot
s027852,EBF,Enterococcus,0,Enterococcus,Enterococcus
s027852,EBF,Intestinibacter,0,Intestinibacter,Intestinibacter
s027852,EBF,Lactococcus,0,Lactococcus,Lactococcus
s027852,EBF,Streptococcus,0,Streptococcus,Streptococcus
s027852,EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s027852,EBF,[Ruminococcus]_gnavugroup,2,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s027078,non-EBF,Bifidobacterium,61,Bifidobacterium,Bifidobacterium
s027078,non-EBF,Blautia,0,Blautia,Blautia
s027078,non-EBF,Enterococcus,3,Enterococcus,Enterococcus
s027078,non-EBF,Intestinibacter,0,Intestinibacter,Intestinibacter
s027078,non-EBF,Lactococcus,0,Lactococcus,Lactococcus
s027078,non-EBF,Streptococcus,11,Streptococcus,Streptococcus
s027078,non-EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s027078,non-EBF,[Ruminococcus]_gnavugroup,7,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s023179,non-EBF,Bifidobacterium,41,Bifidobacterium,Bifidobacterium
s023179,non-EBF,Blautia,9,Blautia,Blautia
s023179,non-EBF,Enterococcus,15,Enterococcus,Enterococcus
s023179,non-EBF,Intestinibacter,0,Intestinibacter,Intestinibacter
s023179,non-EBF,Lactococcus,0,Lactococcus,Lactococcus
s023179,non-EBF,Streptococcus,90,Streptococcus,Streptococcus
s023179,non-EBF,[Clostridium]_innocuum_group,1,[Clostridium]_innocuum_group,[Clostridium]_inn...
s023179,non-EBF,[Ruminococcus]_gnavugroup,10,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s028972,EBF,Bifidobacterium,60,Bifidobacterium,Bifidobacterium
s028972,EBF,Blautia,1,Blautia,Blautia
s028972,EBF,Enterococcus,0,Enterococcus,Enterococcus
s028972,EBF,Intestinibacter,0,Intestinibacter,Intestinibacter
s028972,EBF,Lactococcus,0,Lactococcus,Lactococcus
s028972,EBF,Streptococcus,6,Streptococcus,Streptococcus
s028972,EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s028972,EBF,[Ruminococcus]_gnavugroup,0,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s025044,EBF,Bifidobacterium,59,Bifidobacterium,Bifidobacterium
s025044,EBF,Blautia,1,Blautia,Blautia
s025044,EBF,Enterococcus,2,Enterococcus,Enterococcus
s025044,EBF,Intestinibacter,0,Intestinibacter,Intestinibacter
s025044,EBF,Lactococcus,0,Lactococcus,Lactococcus
s025044,EBF,Streptococcus,9,Streptococcus,Streptococcus
s025044,EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s025044,EBF,[Ruminococcus]_gnavugroup,0,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s021317,EBF,Bifidobacterium,59,Bifidobacterium,Bifidobacterium
s021317,EBF,Blautia,0,Blautia,Blautia
s021317,EBF,Enterococcus,1,Enterococcus,Enterococcus
s021317,EBF,Intestinibacter,0,Intestinibacter,Intestinibacter
s021317,EBF,Lactococcus,0,Lactococcus,Lactococcus
s021317,EBF,Streptococcus,0,Streptococcus,Streptococcus
s021317,EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s021317,EBF,[Ruminococcus]_gnavugroup,0,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s021923,EBF,Bifidobacterium,61,Bifidobacterium,Bifidobacterium
s021923,EBF,Blautia,0,Blautia,Blautia
s021923,EBF,Enterococcus,2,Enterococcus,Enterococcus
s021923,EBF,Intestinibacter,0,Intestinibacter,Intestinibacter
s021923,EBF,Lactococcus,0,Lactococcus,Lactococcus
s021923,EBF,Streptococcus,3,Streptococcus,Streptococcus
s021923,EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s021923,EBF,[Ruminococcus]_gnavugroup,1,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s024892,non-EBF,Bifidobacterium,22,Bifidobacterium,Bifidobacterium
s024892,non-EBF,Blautia,30,Blautia,Blautia
s024892,non-EBF,Enterococcus,4,Enterococcus,Enterococcus
s024892,non-EBF,Intestinibacter,0,Intestinibacter,Intestinibacter
s024892,non-EBF,Lactococcus,0,Lactococcus,Lactococcus
s024892,non-EBF,Streptococcus,2,Streptococcus,Streptococcus
s024892,non-EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s024892,non-EBF,[Ruminococcus]_gnavugroup,3,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s029001,EBF,Bifidobacterium,60,Bifidobacterium,Bifidobacterium
s029001,EBF,Blautia,0,Blautia,Blautia
s029001,EBF,Enterococcus,0,Enterococcus,Enterococcus
s029001,EBF,Intestinibacter,0,Intestinibacter,Intestinibacter
s029001,EBF,Lactococcus,0,Lactococcus,Lactococcus
s029001,EBF,Streptococcus,0,Streptococcus,Streptococcus
s029001,EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s029001,EBF,[Ruminococcus]_gnavugroup,0,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s021931,EBF,Bifidobacterium,61,Bifidobacterium,Bifidobacterium
s021931,EBF,Blautia,0,Blautia,Blautia
s021931,EBF,Enterococcus,0,Enterococcus,Enterococcus
s021931,EBF,Intestinibacter,0,Intestinibacter,Intestinibacter
s021931,EBF,Lactococcus,0,Lactococcus,Lactococcus
s021931,EBF,Streptococcus,16,Streptococcus,Streptococcus
s021931,EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s021931,EBF,[Ruminococcus]_gnavugroup,0,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s021400,EBF,Bifidobacterium,60,Bifidobacterium,Bifidobacterium
s021400,EBF,Blautia,0,Blautia,Blautia
s021400,EBF,Enterococcus,31,Enterococcus,Enterococcus
s021400,EBF,Intestinibacter,0,Intestinibacter,Intestinibacter
s021400,EBF,Lactococcus,0,Lactococcus,Lactococcus
s021400,EBF,Streptococcus,25,Streptococcus,Streptococcus
s021400,EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s021400,EBF,[Ruminococcus]_gnavugroup,0,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s024280,EBF,Bifidobacterium,60,Bifidobacterium,Bifidobacterium
s024280,EBF,Blautia,1,Blautia,Blautia
s024280,EBF,Enterococcus,0,Enterococcus,Enterococcus
s024280,EBF,Intestinibacter,0,Intestinibacter,Intestinibacter
s024280,EBF,Lactococcus,0,Lactococcus,Lactococcus
s024280,EBF,Streptococcus,7,Streptococcus,Streptococcus
s024280,EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s024280,EBF,[Ruminococcus]_gnavugroup,0,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s029985,EBF,Bifidobacterium,58,Bifidobacterium,Bifidobacterium
s029985,EBF,Blautia,0,Blautia,Blautia
s029985,EBF,Enterococcus,0,Enterococcus,Enterococcus
s029985,EBF,Intestinibacter,0,Intestinibacter,Intestinibacter
s029985,EBF,Lactococcus,0,Lactococcus,Lactococcus
s029985,EBF,Streptococcus,1,Streptococcus,Streptococcus
s029985,EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s029985,EBF,[Ruminococcus]_gnavugroup,0,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s024301,EBF,Bifidobacterium,61,Bifidobacterium,Bifidobacterium
s024301,EBF,Blautia,1,Blautia,Blautia
s024301,EBF,Enterococcus,6,Enterococcus,Enterococcus
s024301,EBF,Intestinibacter,0,Intestinibacter,Intestinibacter
s024301,EBF,Lactococcus,0,Lactococcus,Lactococcus
s024301,EBF,Streptococcus,1,Streptococcus,Streptococcus
s024301,EBF,[Clostridium]_innocuum_group,0,[Clostridium]_innocuum_group,[Clostridium]_inn...
s024301,EBF,[Ruminococcus]_gnavugroup,1,[Ruminococcus]_gnavugroup,[Ruminococcus]_gn...
s026048,EBF,Bifidobacterium,57,Bifidobacterium,Bifidobacterium
s026048,EBF,Blautia,2,Blautia,Blautia
