taxon,prevalence,score,reference_status
Clostridium_sensu_strict18,0.016245487364620937,0.8174729254598967,reference
Sarcina,0.010830324909747292,0.7205287952291102,reference
Clostridium_sensu_strict1,0.8014440433212996,2.0871404463190824,test
Butyricicoccus,0.016245487364620937,0.7569116064231238,reference
Incertae_Sedis,0.05595667870036101,0.8929463163456116,reference
UBA1819,0.04332129963898917,0.9747527267402449,reference
Faecalibacterium,0.5956678700361011,1.532841094404234,test
Subdoligranulum,0.24187725631768953,1.1701526102526467,reference
Ruminococcus,0.02527075812274368,0.72781211695005,reference
CAG-352,0.17870036101083034,1.045871440962729,reference
Flavonifractor,0.10469314079422383,1.1590437077891411,reference
[Eubacterium]_coprostanoligenegroup,0.023465703971119134,0.7258009744401464,reference
Clostridia_UCG-014,0.02888086642599278,0.7521334640549522,reference
Monoglobus,0.018050541516245487,0.721289027717879,reference
Epulopiscium,0.021660649819494584,0.8313424467202817,reference
[Eubacterium]_hallii_group,0.0740072202166065,0.9074193512998426,reference
Anaerostipes,0.8357400722021661,1.4887888095697044,test
Lachnospiraceae_ND3007_group,0.009025270758122744,0.6760325549224746,reference
[Eubacterium]_eligengroup,0.05415162454873646,0.8056335580164702,reference
Lachnospira,0.01263537906137184,0.6978395271451696,reference
Hungatella,0.06498194945848375,1.0449880876067899,reference
Prevotella,0.09386281588447654,1.0463720570879413,reference
Bacteroides,0.9061371841155235,2.482703338394933,test
Bifidobacterium,1,1.4293692120334331,reference
Scardovia,0.04512635379061372,0.8789628580276359,reference
[Ruminococcus]_torquegroup,0.10649819494584838,1.3875487970738591,reference
Sellimonas,0.05054151624548736,1.1019870746995633,reference
uncultured18,0.02527075812274368,1.0840272395428041,reference
Lachnoclostridium,0.17148014440433212,1.602629529331349,test
[Ruminococcus]_gnavugroup,0.9747292418772563,1.7351638415171178,test
Dorea,0.04512635379061372,1.1826033840957444,reference
Coprococcus,0.010830324909747292,0.7515991637460824,reference
Tyzzerella,0.13537906137184116,1.3278545836519375,reference
22_Lachnospiraceae(F),0.0740072202166065,1.1298741895867632,reference
Roseburia,0.08844765342960288,1.046456671941111,reference
Agathobacter,0.2833935018050541,1.4183106989058685,reference
Proteus,0.032490974729241874,0.9987700724107614,reference
Morganella,0.010830324909747292,0.795707743526143,reference
24_Enterobacteriaceae(F),0.7490974729241877,2.6027523793153495,test
Escherichia-Shigella,0.9711191335740073,2.102756528374698,test
[Ruminococcus]_gauvreauii_group,0.019855595667870037,0.9331408705699745,reference
Lachnoanaerobaculum,0.016245487364620937,0.7012005733765495,reference
Fusicatenibacter,0.5397111913357401,1.6885623243443637,test
Lachnospiraceae_NK4A136_group,0.02527075812274368,0.7567204459352668,reference
Blautia,0.9909747292418772,1.3529861070891596,reference
