taxon_id,d.wass,d.wass^2,d.comp^2,d.comp,location,size,shape,rho,pval,p.ad.gpd,N.exc,gpd.shape,perc.loc,perc.size,perc.shape,decomp.error,p.zero,p.combined,p.adj.nonzero,p.adj.zero,p.adj.combined,n_nonzero_group1,n_nonzero_group2,n_group1,n_group2,zero_prevalence_estimate,zero_prevalence_z,taxon,p_permapprox_unconstrained,p_permapprox_constrained,p_combined_permapprox_unconstrained,p_combined_permapprox_constrained,p_adj_permapprox_unconstrained,p_adj_permapprox_constrained,p_adj_combined_permapprox_unconstrained,p_adj_combined_permapprox_constrained,fisher_statistic_permapprox_constrained,method_used_unconstrained,method_used_constrained,shape_permapprox_unconstrained,shape_permapprox_constrained,scale_permapprox_unconstrained,scale_permapprox_constrained,neglog10_p_combined,significance_class,label_taxon
Enterococcus,1.5461874868912995,2.3906957446192325,2.3925828522147086,1.546797611911367,2.0899841618180934,0.07342297352451949,0.2291757168720955,0.9564865510295592,2.3411705534953273e-8,0.6848743188482879,250,0.1223479922451231,87.35,3.07,9.58,7.893549815878309e-4,0.013117779139452971,7.033981518284495e-9,4.526263070090966e-7,0.08376614123745559,1.6459516752785716e-7,170,329,179,375,-0.9509692646833864,-2.480524659763674,Enterococcus,2.414563644477694e-8,2.414563644477694e-8,7.244712112307607e-9,7.244712112307607e-9,5.60178765518825e-7,7.002234568985313e-7,1.69526263427998e-7,1.69526263427998e-7,43.74589788278385,gpd,gpd,NA,NA,NA,NA,8.139978867683537,combined_bh_significant,Enterococcus
Dolosigranulum,0.6903349235480183,0.47656230667004823,0.5148871332170829,0.7175563623974656,0.332908348625639,0.09146231154304812,0.09051647304839573,0.9463227673418089,0.11411411411411411,NA,NA,NA,64.66,17.76,17.58,0.08041934078846302,0.05489303663766804,0.03804122946818435,0.3207016540349874,0.19990780082619908,0.1171269433625676,8,31,179,375,0.7742132465882016,1.919782603256337,Dolosigranulum,0.115,0.115,0.038287732302056274,0.038287732302056274,0.3231428571428572,0.3231428571428572,0.1178859126142259,0.1178859126142259,10.130383852662007,empirical,empirical,NA,NA,NA,NA,1.4169403551949662,not_significant,Dolosigranulum
Lactobacillus,0.34074710033831096,0.11610858638896696,0.11941194953496302,0.34556034138043534,0.06595883836515948,0.016972125988727972,0.03648098518107558,0.9955501721568214,0.47147147147147145,NA,NA,NA,55.24,14.21,30.55,0.02845063615648291,3.468995711342816e-4,0.0015894713252279167,0.7011627011627012,0.008048070050315333,0.009410617530690465,79,221,179,375,0.671421073940337,3.5774975364731,Lactobacillus,0.472,0.472,0.0015910697039066982,0.0015910697039066982,0.7019487179487179,0.7019487179487179,0.009430855799928667,0.009430855799928667,17.434503067332905,empirical,empirical,NA,NA,NA,NA,2.798310793729323,combined_bh_significant,Lactobacillus
Leuconostoc,1.322123420646629,1.7480103394223432,2.2691084442187037,1.5063560150969304,0.7746040291127401,0.339655646271629,1.1548487688343345,0.8176113436370812,0.5195195195195195,NA,NA,NA,34.14,14.97,50.89,0.2981092806170502,4.122747731165847e-5,2.5169404284450627e-4,0.7174317174317173,0.0015941291227174607,0.001840512688300452,18,3,179,375,-2.4042698689840662,-4.101228415781027,Leuconostoc,0.52,0.52,2.5190700530665046e-4,2.5190700530665046e-4,0.7180952380952381,0.7180952380952381,0.0018420699763048816,0.0018420699763048816,21.500664132541754,empirical,empirical,NA,NA,NA,NA,3.5987597549960544,combined_bh_significant,Leuconostoc
Family_XIII_AD3011_group,2.407423192710613,5.795686428800961,8.548028737100731,2.9237012051679856,3.742168797215386,3.729999386898424,1.0758605529869214,0.8247703677463344,0.19519519519519518,NA,NA,NA,43.78,43.64,12.59,0.47489496578392143,0.7250173865636844,0.4182358942957036,0.4312884312884313,0.867031101457602,0.5689953445650852,2,5,179,375,0.2682537619348304,0.3517827792295552,Family_XIII_AD3011_group,0.196,0.196,0.41937561433093384,0.41937561433093384,0.43292857142857144,0.43292857142857144,0.5705458939153402,0.5705458939153402,3.902400525398964,empirical,empirical,NA,NA,NA,NA,0.37739682630132504,not_significant,Family_XIII_AD3011_...
Terrisporobacter,1.3862991279353039,1.921825272114184,1.9336234845121396,1.390547908024797,1.5293219764970514,0.0749105691688476,0.3293909388462406,0.9024509566109232,0.003062156455007397,0.6870789560704372,250,0.08366801873702615,79.09,3.87,17.03,0.006139066110300684,9.359267549898122e-5,4.604211039414311e-6,0.02089471463416812,0.0027141875894704554,5.386926916114743e-5,31,21,179,375,-1.1743932151301824,-3.906541541026006,Terrisporobacter,0.00308673975165177,0.00308673975165177,4.638864076184606e-6,4.638864076184606e-6,0.021062459481859138,0.022378863199475334,6.030523299039988e-5,6.030523299039988e-5,30.114396544780384,gpd,gpd,NA,NA,NA,NA,5.333588352600406,combined_bh_significant,Terrisporobacter
Paeniclostridium,0.9448828189006246,0.8928035414535906,0.9245417599334786,0.9615309459052676,0.708928811122903,0.004947345099204954,0.21066560371137077,0.8638946437861809,0.2782782782782783,NA,NA,NA,76.68,0.54,22.79,0.03554893882725252,0.025938097035162273,0.0428112825820318,0.5367990941761434,0.13081822852516625,0.1284338477460954,7,3,179,375,-1.4301834730841143,-2.2266915352156103,Paeniclostridium,0.279,0.279,0.04290357037878919,0.04290357037878919,0.5381639344262295,0.5381639344262295,0.12871071113636756,0.12871071113636756,9.857171920387565,empirical,empirical,NA,NA,NA,NA,1.3675065648948705,not_significant,Paeniclostridium
Intestinibacter,1.6483419417690717,2.717031156995034,2.721701555774987,1.6497580294621956,2.263122240560617,0.17224260470078545,0.28633671051358495,0.905489270524802,4.445337435936563e-16,0.2955288366279777,250,0.021590850152325532,83.15,6.33,10.52,0.0017189345686849933,7.185720224394818e-4,1.3923213779827703e-17,5.1565914256864135e-14,0.011907764943282842,1.6290160122398413e-15,130,212,179,375,-0.7077247902930323,-3.3823918091143685,Intestinibacter,1.1667986860990074e-12,1.1667986860990074e-12,2.9944489458676095e-14,2.9944489458676095e-14,1.3534864758748485e-10,1.3534864758748485e-10,3.503505266665103e-12,3.503505266665103e-12,69.43000380091904,gpd,gpd,NA,NA,NA,NA,13.523683087060316,combined_bh_significant,Intestinibacter
Clostridioides,0.640428114442019,0.41014816976775975,0.43344526319897786,0.6583655999511046,0.013475492077171134,0.30554827443789484,0.1144214966839119,0.960570407948648,0.13913913913913914,NA,NA,NA,3.11,70.49,26.4,0.05680165156999184,0.07276287992844276,0.05662273272600779,0.37535209628232885,0.21101235179248398,0.15056499383961164,22,27,179,375,-0.5391361900601702,-1.7942951528094133,Clostridioides,0.14,0.14,0.05691022833338978,0.05691022833338978,0.3776744186046512,0.3776744186046512,0.15132947079560466,0.15132947079560466,9.173324402567635,empirical,empirical,NA,NA,NA,NA,1.2448096719258117,not_significant,Clostridioides
Peptostreptococcus,1.507057908592906,2.2712235398524236,2.54001466553802,1.5937423460327644,0.4342843131499463,1.5904715954142936,0.5152587569737803,0.7354641652488709,0.8298298298298298,NA,NA,NA,17.1,62.62,20.29,0.11834639830435245,0.062327426884440346,0.2049134527147295,0.8912987061135209,0.20516223333349637,0.35257167599446104,5,2,179,375,-1.3985877639621638,-1.8633469588560803,Peptostreptococcus,0.83,0.83,0.2049448662112586,0.2049448662112586,0.8914814814814815,0.8914814814814815,0.3527366837883998,0.3527366837883998,5.923366578682735,empirical,empirical,NA,NA,NA,NA,0.6883629561181378,not_significant,Peptostreptococcus
