taxon_id,d.wass,d.wass^2,d.comp^2,d.comp,location,size,shape,rho,pval,p.ad.gpd,N.exc,gpd.shape,perc.loc,perc.size,perc.shape,decomp.error,p.adj,n_group1,n_group2,taxon
Stenotrophomonas,0.23700787281581354,0.056172731776676844,0.05587180932352804,0.23637218390396117,0.007364720585576474,0.03095388635747249,0.017553202380479076,0.9283085599903617,0.17417417417417416,NA,NA,NA,13.18,55.4,31.42,0.005357091308024087,0.28863148863148863,179,375,Stenotrophomonas
Pseudomonas,0.2377493635730295,0.05652475987938057,0.05641543920204084,0.23751934490066454,0.02260313900899382,0.014346118688708089,0.019466181504338927,0.9238125401384932,0.07607607607607608,NA,NA,NA,40.07,25.43,34.51,0.0019340316981976136,0.1753125674694302,179,375,Pseudomonas
Halomonas,0.22419124105668187,0.050261712566535235,0.05258203218659556,0.22930772378311978,0.007467477287770219,0.005673127019200268,0.03944142787962507,0.9402105761213803,0.5095095095095095,NA,NA,NA,14.2,10.79,75.01,0.046164754473670966,0.5970010414454858,179,375,Halomonas
8_Comamonadaceae(F),0.16014711061052392,0.025647097036899383,0.025146532869300194,0.1585765836096244,0.012880632253371311,3.6545983686265936e-4,0.011900440779066221,0.9441312595152862,0.22522522522522523,NA,NA,NA,51.22,1.45,47.32,0.01951738112422663,0.343764817449028,179,375,8_Comamonadaceae(F)
Delftia,0.412329833510688,0.17001589160295172,0.17108930357879656,0.41362942784429224,8.499039797282397e-6,0.11446578865109372,0.056615015887905566,0.9573665371930612,0.14614614614614616,NA,NA,NA,0,66.9,33.09,0.0063135978979638185,0.267960267960268,179,375,Delftia
Sutterella,0.4164313073784088,0.17341503376489079,0.17664907157136867,0.4202964091821017,0.035690868821476006,0.025087730180572792,0.11587047256931989,0.8299769394693212,0.08508508508508508,NA,NA,NA,20.2,14.2,65.59,0.018649120184484502,0.18980518980518982,179,375,Sutterella
Haemophilus,1.1608996013172548,1.3476878843385611,1.3482350788404063,1.1611352543267328,0.6640590366435007,0.13061595345338203,0.5535600887435235,0.9380597149526124,2.2483973355725086e-5,0.7750957568348348,250,-0.025305319584579017,49.25,9.69,41.06,4.060246502206599e-4,2.1734507577200914e-4,179,375,Haemophilus
9_Pasteurellaceae(F),0.2888516141473567,0.08343525499553345,0.08132780158347053,0.28518029662560934,0.018635413355701666,0.030757042043909014,0.03193534618385984,0.8677559894913937,0.2962962962962963,NA,NA,NA,22.91,37.82,39.27,0.025258548226115396,0.3905723905723905,179,375,9_Pasteurellaceae(F)
Acinetobacter,0.1441044837280578,0.020766102230530072,0.021087112941124447,0.14521402460204885,0.012132556093962108,3.270389927312877e-4,0.008627517854431051,0.9879337714318055,0.5675675675675675,NA,NA,NA,57.54,1.55,40.91,0.015458399801308254,0.6261588691495232,179,375,Acinetobacter
Bilophila,0.5488983083337117,0.3012893528916104,0.2993112202557744,0.5470934291835119,0.05504854581096275,0.10770681252089256,0.13655586192391908,0.8638659351983383,0.057057057057057055,NA,NA,NA,18.39,35.98,45.62,0.006565557716696535,0.14082167273656634,179,375,Bilophila
Fusobacterium,0.4446097390452542,0.19767782005388904,0.20072594800718468,0.44802449487409135,0.0023366671123811176,0.09910469277831829,0.09928458811648529,0.8986606187878522,0.05905905905905906,NA,NA,NA,1.16,49.37,49.46,0.015419676079312827,0.14272605939272606,179,375,Fusobacterium
Brevundimonas,0.23659443366614097,0.05597692604180198,0.057073373822393234,0.23890034286788547,0.020602365565025867,0.0046395193135892535,0.03183148894377811,0.8979555732641851,0.15015015015015015,NA,NA,NA,36.1,8.13,55.77,0.019587495386446552,0.267960267960268,179,375,Brevundimonas
Akkermansia,0.9978670281980377,0.9957386059647835,1.0036983169710603,1.0018474519461833,0.01347103373886705,0.37924576308935026,0.6109815201428429,0.8811735726550363,2.519306922799114e-4,0.39357387592602594,250,0.03375557795653386,1.34,37.78,60.87,0.007993775634082656,0.0020874257360335518,179,375,Akkermansia
Blastococcus,0.20006875200415553,0.04002750552850028,0.04041820327193012,0.2010427896541682,0.007264301231449717,0.018685837561629042,0.01446806447885136,0.9321792366640004,0.16116116116116116,NA,NA,NA,17.97,46.23,35.8,0.009760731733623684,0.2832529499196166,179,375,Blastococcus
Corynebacterium,0.7429308821786372,0.5519462956947282,0.5534088873633836,0.7439145699362149,0.2215460207766832,0.07729937361412245,0.2545634929725779,0.9114109565773446,1.1394883106424676e-4,0.9631041372936545,250,-0.028378486661730484,40.03,13.97,46,0.002649880396089044,0.001016774184880971,179,375,Corynebacterium
Lawsonella,0.29761051068365885,0.08857201606938822,0.09104907233618456,0.30174338822281516,0.0034964336711417036,0.0012030724451661007,0.08634956621987676,0.7915986868536835,0.23323323323323322,NA,NA,NA,3.84,1.32,94.84,0.02796657879906217,0.3468596801930135,179,375,Lawsonella
Cutibacterium,0.5061043091169843,0.25614157170678004,0.2545579315936118,0.5045373441021108,0.04916281875977321,0.08938568713815062,0.11600942569568796,0.74701483866275,0.004344553832304165,0.08876250512381434,240,-0.0876837871106636,19.31,35.11,45.57,0.00618267508321968,0.01938339402104935,179,375,Cutibacterium
Actinomyces,0.47289382672064717,0.22362857135049746,0.2210709809957223,0.4701818594923908,0.015734380612087522,0.0563601276565356,0.14897647272709919,0.9846915369110447,0.2732732732732733,NA,NA,NA,7.12,25.49,67.39,0.011436778133177783,0.3686011592988337,179,375,Actinomyces
Varibaculum,0.268734600210831,0.07221828535047517,0.07177069029264271,0.26790052312872165,0.011691814372485912,0.012193928696309673,0.047884947223847125,0.9883257524169973,0.6576576576576577,NA,NA,NA,16.29,16.99,66.72,0.006197807877330264,0.7063730397063732,179,375,Varibaculum
Dermabacter,0.3315184393934133,0.10990447565784425,0.10832718432061905,0.32913095314877183,0.025703028203614853,0.008702140805758892,0.07392201531124531,0.9073627501027132,0.24224224224224225,NA,NA,NA,23.73,8.03,68.24,0.01435147502214229,0.3469822763940411,179,375,Dermabacter
Actinotignum,0.2747430641541541,0.07548375130081364,0.07303701908757146,0.27025361993426,0.018805677635105347,0.010351333004886883,0.04388000844757923,0.8754237599217138,0.3233233233233233,NA,NA,NA,25.75,14.17,60.08,0.03241402515213643,0.4205983761539317,179,375,Actinotignum
Rothia,0.7068444225615165,0.49962903770632366,0.4995819116669561,0.7068110862648916,0.0607550897006812,0.023040895158033425,0.41578592680824145,0.9594461844087411,0.057057057057057055,NA,NA,NA,12.16,4.61,83.23,9.432205858950216e-5,0.14082167273656634,179,375,Rothia
Parabacteroides,0.9918269011617615,0.9837206018681427,0.9860219965677407,0.992986403012519,0.25893513487651587,0.11869068192593689,0.6083961797652879,0.9361778820945872,0.03303303303303303,NA,NA,NA,26.26,12.04,61.7,0.0023394800263687454,0.1008376797850482,179,375,Parabacteroides
Porphyromonas,0.15307016188628525,0.023430474459893574,0.023181653217936884,0.1522552239430125,0.012911064729745422,0.0017006924981180112,0.008569895990073451,0.9608590348062707,0.40540540540540543,NA,NA,NA,55.7,7.34,36.97,0.010619556269874209,0.5056669572798606,179,375,Porphyromonas
Coprobacter,0.18679608436514633,0.034892777134150864,0.028754998132517903,0.1695729876263254,0.013429874177348441,0.0029944186379512907,0.012330705317218174,0.9837998242909007,0.7997997997997998,NA,NA,NA,46.7,10.41,42.88,0.17590399806915014,0.8067545806676241,179,375,Coprobacter
Alistipes,0.3333276468008307,0.11110732012177935,0.11166402332673041,0.3341616724382532,0.03787363525642843,0.00556835971029237,0.06822202836000961,0.9592739705204566,0.25225225225225223,NA,NA,NA,33.92,4.99,61.1,0.005010499797321044,0.3469822763940411,179,375,Alistipes
Gordonibacter,0.5652983623000793,0.31956223841915177,0.3248573440451455,0.5699625812675297,0.001644422481694341,0.253348759297363,0.06986416226608816,0.9438486562309925,0.03903903903903904,NA,NA,NA,0.51,77.99,21.51,0.016569872749008674,0.11321321321321322,179,375,Gordonibacter
Senegalimassilia,0.30242554450316295,0.0914612099680346,0.09150926508178547,0.3025049835652059,0.01988533869441916,0.005299168383971822,0.06632475800339449,0.984039855598177,0.5745745745745746,NA,NA,NA,21.73,5.79,72.48,5.254152418021629e-4,0.6261588691495232,179,375,Senegalimassilia
Eggerthella,0.6218349615496324,0.38667871940543275,0.3896849416868577,0.6242475003449014,0.06146334392539025,0.027945939694653234,0.3002756580668142,0.9641048325335311,0.0960960960960961,NA,NA,NA,15.77,7.17,77.06,0.007774470459733118,0.19905619905619906,179,375,Eggerthella
Slackia,0.503399677121592,0.253411234926123,0.2545859772991259,0.5045651368248959,5.325376920735938e-4,0.10600862847227653,0.1480448111347758,0.8160676091040746,0.0960960960960961,NA,NA,NA,0.21,41.64,58.15,0.004635715434421872,0.19905619905619906,179,375,Slackia
Atopobium,0.2314696985084527,0.05357822132759399,0.053713005054698525,0.23176066330311218,0.005011477103148926,2.7340410094838844e-5,0.04867418754145476,0.9762856781451626,0.44744744744744747,NA,NA,NA,9.33,0.05,90.62,0.0025156439270430653,0.5463568831989885,179,375,Atopobium
Olsenella,0.5591392324284764,0.31263668124070576,0.3181386636707891,0.5640378211350627,0.0012640529127510393,0.08643456573001293,0.2304400450280251,0.812272247479338,0.25425425425425424,NA,NA,NA,0.4,27.17,72.43,0.017598646480792235,0.3469822763940411,179,375,Olsenella
Libanicoccus,0.3601432884594225,0.12970318822236682,0.1287027194602316,0.3587516124845038,0.026344376949679664,0.06269393047029367,0.039664412040258244,0.9671771725238362,0.5205205205205206,NA,NA,NA,20.47,48.71,30.82,0.00771352482423171,0.6038038038038038,179,375,Libanicoccus
Collinsella,1.0208791386174765,1.0421942156643607,1.0512468066548841,1.025303275453114,0.01937128789476517,0.5593351510933302,0.47254036766678886,0.9581093350731442,2.9630601131731577e-4,0.05724313362252691,230,-0.025663887885723664,1.84,53.21,44.95,0.008686088307209294,0.00214902762203492,179,375,Collinsella
Anaerococcus,0.3818317102509403,0.14579545495315804,0.1467182814234616,0.38303822449392905,0.0015366664512478333,0.03104570411836088,0.11413591085385288,0.9109821982235324,0.055055055055055056,NA,NA,NA,1.05,21.16,77.79,0.006329596972690643,0.14082167273656634,179,375,Anaerococcus
Finegoldia,0.4072330331826574,0.16583874331514736,0.16642991348634906,0.407958225173055,0.003599951088381787,0.06313014946031041,0.09969981293765687,0.9140355126877397,0.04504504504504504,NA,NA,NA,2.16,37.93,59.9,0.003564728961303665,0.1274445176884201,179,375,Finegoldia
Peptoniphilus,0.3488933079155164,0.12172654030823135,0.12325805256541021,0.35108126205397266,4.3208404870664614e-4,0.029776896885747254,0.09304907163095631,0.9535133986609111,0.22922922922922923,NA,NA,NA,0.35,24.16,75.49,0.012581580428564054,0.34533234533234536,179,375,Peptoniphilus
Fenollaria,0.14669706360599305,0.02152002847062077,0.02155588623678907,0.1468192297922485,0.010968688360899963,0.0013080764831546504,0.009279121392734457,0.965293648039126,0.57757757757757755,NA,NA,NA,50.88,6.07,43.05,0.0016662508703113588,0.6261588691495232,179,375,Fenollaria
Clostridium_sensu_strict18,0.5060064631788417,0.2560425407787605,0.2585084807619587,0.5084372928513001,3.855686265289509e-4,0.0843747627529504,0.17374814938247934,0.7744479428560582,0.10810810810810811,NA,NA,NA,0.15,32.64,67.21,0.009630977632459015,0.2125515345854329,179,375,Clostridium_sensu_strict18
