SampleID,delta_k
s029017,0.002673946589616582
s023058,0.0013272055415112897
s029011,0.001328690208992376
s024082,0.0024854469898556737
s027847,0.001481367101396925
s026681,0.001582186032741864
s027788,0.002267324055272135
s028686,0.0012400423642618126
s024104,0.0015443799617470275
s027236,0.001891128273064755
s023991,0.0018152203206089777
s028038,0.0032704119828005887
s027257,0.001344269655838829
s021867,0.001919772292071003
s029433,0.0025965312988033293
s027228,0.0011570528699054398
s028969,0.001604153945582641
s021021,0.0022558029488947313
s026977,0.00170645097725871
s025067,0.0026594474127197513
s025691,0.0014807056894213073
s026325,0.002509878110631549
s028549,0.0013910707591694026
s023315,0.0012522330313779308
s021229,0.0025147139548580065
s028136,0.0017810121423924043
s023553,0.0022062222414453428
s024747,0.0012655401443586842
s023748,0.0013704277440915015
s024026,0.0016417640269611971
s029682,0.0012561971402391004
s028500,0.002346940682947174
s021255,0.0019590516943665563
s021770,0.0016619957757493036
s029123,9.279717223566205e-4
s028412,0.0029593712040439867
s028473,0.0016841803935623183
s027234,0.0020067568954825685
s028042,0.0023007740889262624
s023036,0.001886014145956169
s023815,0.0015356249637363088
s025170,0.001969847493433899
s027721,0.0021129487862676195
s024257,0.0021952756761109203
s024229,0.0038056124329720062
s025244,0.00174190765091247
s028034,0.0014742672911766128
s022070,0.0024566301652405383
s022488,0.0018493470086449666
s026176,0.0019289880003920627
s028178,0.0032334414212280985
s025041,0.0016540625980079407
s024622,0.0030143590434759016
s027383,0.0015382344049463617
s029589,0.0037304828505675585
s024872,0.001663752722288939
s024690,0.0038952599173681253
s023371,0.00309295875447621
s029222,0.0016663960407214593
s025939,0.002168812816155972
s021900,0.001555910414021836
s027683,0.0016792489454880738
s029474,0.0016594625203548742
s023137,0.0026413582469624187
s022935,0.001228409634727583
s027482,0.0020311080711791036
s025022,0.002592408911199713
s027499,0.001833257190215063
s029687,0.002161572021464174
s027431,0.0010409630739092182
s024033,0.00365500592994127
s021761,0.0017927366739831647
s026893,0.002089299811302464
s028420,0.002196535319155735
s028266,0.0018061695677504333
s026782,0.002594402829577879
s022581,0.0022055178845342594
s029905,0.002038794976074535
s021771,0.0017291646879616371
