taxon,prevalence,n_samples_present,keep
Olsenella,0.015202702702702704,9,FALSE
Coriobacteriaceae_UCG-002,0.006756756756756757,4,FALSE
15_Atopobiaceae(F),0.0016891891891891893,1,FALSE
Libanicoccus,0.02195945945945946,13,FALSE
Collinsella,0.8496621621621622,503,TRUE
uncultured14,0.0016891891891891893,1,FALSE
Enorma,0.0033783783783783786,2,FALSE
Anaerococcus,0.08108108108108109,48,FALSE
Parvimonas,0.0016891891891891893,1,FALSE
Finegoldia,0.06925675675675676,41,FALSE
Peptostreptococcales-Tissierellales,0.0016891891891891893,1,FALSE
Peptoniphilus,0.07939189189189189,47,FALSE
Fenollaria,0.010135135135135136,6,FALSE
Clostridium_sensu_strict18,0.015202702702702704,9,FALSE
Clostridium_sensu_strict13,0.0016891891891891893,1,FALSE
Clostridium_sensu_strict2,0.006756756756756757,4,FALSE
Sarcina,0.011824324324324325,7,FALSE
Clostridium_sensu_strict1,0.8023648648648649,475,TRUE
Clostridium_sensu_strict12,0.0016891891891891893,1,FALSE
uncultured15,0.0016891891891891893,1,FALSE
Butyricicoccus,0.02027027027027027,12,FALSE
Incertae_Sedis,0.05574324324324324,33,FALSE
Caproiciproducens,0.0016891891891891893,1,FALSE
Pygmaiobacter,0.0016891891891891893,1,FALSE
UBA1819,0.04222972972972973,25,FALSE
Fournierella,0.0016891891891891893,1,FALSE
Faecalibacterium,0.5962837837837838,353,TRUE
Subdoligranulum,0.24155405405405406,143,TRUE
Ruminococcus,0.02364864864864865,14,FALSE
CAG-352,0.18074324324324326,107,TRUE
17_Ruminococcaceae(F),0.0016891891891891893,1,FALSE
Flavonifractor,0.10472972972972973,62,TRUE
Colidextribacter,0.0016891891891891893,1,FALSE
UCG-002,0.005067567567567568,3,FALSE
Oscillibacter,0.008445945945945946,5,FALSE
[Eubacterium]_coprostanoligenegroup,0.02533783783783784,15,FALSE
Caldicellulosiruptor,0.0016891891891891893,1,FALSE
[Clostridium]_methylpentosum_group,0.0016891891891891893,1,FALSE
Anaerotruncus,0.008445945945945946,5,FALSE
Clostridia_UCG-014,0.028716216216216218,17,FALSE
Monoglobus,0.018581081081081082,11,FALSE
Epulopiscium,0.02533783783783784,15,FALSE
Cellulosilyticum,0.0033783783783783786,2,FALSE
Lachnospiraceae_UCG-010,0.0016891891891891893,1,FALSE
[Eubacterium]_hallii_group,0.07939189189189189,47,FALSE
Anaerostipes,0.8361486486486487,495,TRUE
Anaerosporobacter,0.005067567567567568,3,FALSE
Lachnospiraceae_ND3007_group,0.010135135135135136,6,FALSE
[Eubacterium]_eligengroup,0.05574324324324324,33,FALSE
Lachnospira,0.015202702702702704,9,FALSE
[Eubacterium]_ventriosum_group,0.0016891891891891893,1,FALSE
Eisenbergiella,0.006756756756756757,4,FALSE
Hungatella,0.0625,37,FALSE
Robinsoniella,0.0033783783783783786,2,FALSE
Prevotellaceae_NK3B31_group,0.0016891891891891893,1,FALSE
Prevotella,0.09628378378378379,57,FALSE
Paraprevotella,0.006756756756756757,4,FALSE
Bacteroides,0.9054054054054054,536,TRUE
19_Clostridiaceae(F),0.0016891891891891893,1,FALSE
Bifidobacterium,1,592,TRUE
20_Micrococcaceae(F),0.0016891891891891893,1,FALSE
21_Bifidobacteriaceae(F),0.008445945945945946,5,FALSE
Scardovia,0.04222972972972973,25,FALSE
Alloscardovia,0.0016891891891891893,1,FALSE
[Ruminococcus]_torquegroup,0.1097972972972973,65,TRUE
Sellimonas,0.05405405405405406,32,FALSE
